"","method","distance","name","outcome","estimate","p.value","s.value","conf.low","conf.high","statistic","std.error","Matching"
"46","nearest","glm","logit","Planting materials (real value)",-0.54355481097164,0.10952551847955,3.19066105067978,-1.20926014921033,0.122150527267053,-1.60032944297332,0.33965182191596,"Logit"
"47","nearest","glm","logit","Household labor (AE)",-0.0365754307747552,0.477535273184993,1.06632079300687,-0.137503657459634,0.0643527959101239,-0.710272333044944,0.0514949394381673,"Logit"
"48","nearest","glm","logit","Hired labor (man-days/ha)",0.601675998395868,0.0627087303539223,3.99518987973769,-0.031910362096883,1.23526235888862,1.86125106339244,0.323264287247317,"Logit"
"49","nearest","glm","logit","Fertilizer (Kg/ha)",-0.789843301409641,0.0260008442915397,5.26529771900403,-1.48522781723679,-0.0944587855824912,-2.22619915882325,0.354794537712047,"Logit"
"50","nearest","glm","logit","Pesticide (Liter/ha)",-0.176445481174108,0.562077148661139,0.831159931786295,-0.772946419066235,0.420055456718019,-0.579759001818421,0.30434280558074,"Logit"
"54","nearest","glm","probit","Output (real value)",-0.100642658700489,0.0914534035127945,3.45081932773228,-0.217515679471941,0.0162303620709635,-1.68778033680718,0.0596301879490296,"Probit"
"55","nearest","glm","probit","Land (ha)",-0.0734217570689073,0.144510013652437,2.79075862883152,-0.172040164252896,0.0251966501150817,-1.45920020050852,0.0503164384457462,"Probit"
"56","nearest","glm","probit","Planting materials (real value)",-0.499501048008049,0.137629601684391,2.86113729337736,-1.15890679627028,0.15990470025418,-1.48467626634408,0.33643768633686,"Probit"
"57","nearest","glm","probit","Household labor (AE)",-0.0284723164815222,0.577407963222728,0.792337090495458,-0.128628871781436,0.0716842388183919,-0.557174861826119,0.0511012223132345,"Probit"
"58","nearest","glm","probit","Hired labor (man-days/ha)",0.514208858871412,0.110438649075767,3.1786829492918,-0.117175233935258,1.14559295167808,1.59622463632134,0.322140660638128,"Probit"
"59","nearest","glm","probit","Fertilizer (Kg/ha)",-0.690832075884857,0.0485491066902236,4.36441143965943,-1.37726311479347,-0.00440103697624705,-1.97253024899946,0.350226353301944,"Probit"
"60","nearest","glm","probit","Pesticide (Liter/ha)",-0.239138846165148,0.425738084904354,1.2319619410022,-0.827588427732332,0.349310735402035,-0.796505835792905,0.300234895237259,"Probit"
"64","nearest","glm","cloglog","Output (real value)",-0.0971175387053736,0.103130132841201,3.27746217004755,-0.213904471157445,0.0196693937466979,-1.62986452450769,0.0595862645299975,"Complementary log-log"
"65","nearest","glm","cloglog","Land (ha)",-0.0754893815387837,0.13269280311902,2.91383796974115,-0.173893000757705,0.0229142376801376,-1.50356735052657,0.0502068507355832,"Complementary log-log"
"66","nearest","glm","cloglog","Planting materials (real value)",-0.492317748933707,0.143125253881488,2.80464984256345,-1.15130637340992,0.166670875542503,-1.46425146204437,0.336224864168029,"Complementary log-log"
"67","nearest","glm","cloglog","Household labor (AE)",-0.0249855372537285,0.624333591416514,0.679611004767671,-0.12498343670827,0.0750123622008132,-0.489717818262307,0.0510202739659057,"Complementary log-log"
"68","nearest","glm","cloglog","Hired labor (man-days/ha)",0.54603673974691,0.0903021199043301,3.46909633341338,-0.0858019903983623,1.17787546989218,1.69380617724012,0.322372622726303,"Complementary log-log"
"69","nearest","glm","cloglog","Fertilizer (Kg/ha)",-0.680669258300431,0.0521743277290324,4.26051608352693,-1.36774364208481,0.00640512548394712,-1.94169257818104,0.350554596515004,"Complementary log-log"
"70","nearest","glm","cloglog","Pesticide (Liter/ha)",-0.211134543009599,0.482512266833095,1.05136247463242,-0.800391506615937,0.378122420596739,-0.702267645100912,0.300646832418515,"Complementary log-log"
"74","nearest","glm","cauchit","Output (real value)",-0.00942359168313687,0.873818633247338,0.194594224849209,-0.125725522597135,0.106878339230862,-0.15880991965316,0.0593388102186434,"Cauchit"
"75","nearest","glm","cauchit","Land (ha)",-0.00231547899825674,0.967864136427232,0.0471235509612752,-0.114962978369361,0.110332020372848,-0.0402872275805371,0.0574742700680491,"Cauchit"
"76","nearest","glm","cauchit","Planting materials (real value)",-0.32195048967415,0.352654311194228,1.50367341813993,-1.00085656139676,0.356955582048457,-0.929453117078901,0.346387013780728,"Cauchit"
"77","nearest","glm","cauchit","Household labor (AE)",-0.0365994074331284,0.543918337570481,0.878538029488563,-0.154796324724238,0.0815975098579816,-0.606898403684801,0.0603056577689347,"Cauchit"
"78","nearest","glm","cauchit","Hired labor (man-days/ha)",0.962414736955309,0.0036402476681752,8.10174767558622,0.313703479395162,1.61112599451546,2.90776242995614,0.330981213265702,"Cauchit"
"79","nearest","glm","cauchit","Fertilizer (Kg/ha)",-0.203720654530572,0.567909563860689,0.816266887265798,-0.902831406842612,0.495390097781469,-0.571132891986519,0.356695713710322,"Cauchit"
"80","nearest","glm","cauchit","Pesticide (Liter/ha)",0.0258467205250782,0.931661391204017,0.102122386781869,-0.564891996898658,0.616585437948815,0.0857547336131146,0.301402843156001,"Cauchit"
